"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2014-07-24T00:00:00.000Z""","MLI","SE of Gossi","DOUGLAS DC9 80","EC-LTV","Algeria Air Algerie","DZA","ESP","En route","Accident",116,true,true,true,"Fatal","DC3",false,true,2,"Piston","","[""ICE"",""SCF-PP"",""LOC-I""]","LOC-I",2014
"""2014-07-24T00:00:00.000Z""","ESP","Toledo","VANS RV9","EC-ZYT"," ","","ESP","Landing","Accident",0,false,false,"","None","RV9",false,true,1,"Piston","","[""USOS""]","RS",2014
"""2014-07-25T00:00:00.000Z""","USA"," Boulder City Municipal Airport, NV (BLD)","DHC-6 Twin Otter 300","N190GC","Grand Canyon Airlines","","USA","Taxi","Accident",0,true,false,false,"","DHC6",false,true,2,"Turboprop","","[]","RS",2014
"""2014-07-25T00:00:00.000Z""","","Riyadh","A320","HZ-AS21","Saudia",,"SAU","","Accident","",true,true,"","","A320",false,true,2,"Jet","","[]","",2014
"""2014-07-26T00:00:00.000Z""","BHS","North Eleuthera","EMBRAER EMB110 P1","C6-KMC","Bahamas ","","BHS","Landing","Accident",0,true,true,"","Unknown","E110",false,true,2,"Turboprop","","[""SCF-NP""]","SCF",2014
"""2014-07-27T00:00:00.000Z""","","Budapest","A320","G-EUYJ","British Airways",,"GBR","","Accident","",true,true,"","","A320",false,true,2,"Jet","","[]","",2014
"""2014-07-27T00:00:00.000Z""","ITA","Petrella del Salto (Rieti)","AEROSPATIALE AS350 B3","I-LUPU","Italy Eliossola","","ITA","Standing","Accident",2,true,false,"","Fatal","AS50",true,false,1,"Turboprop","","[""OTHR""]","OTH",2014
"""2014-07-28T00:00:00.000Z""","","Barcelona","A321","D-AIRE","Lufthansa",,"DEU","","Accident","",true,true,"","","A321",false,true,2,"Jet","","[]","",2014
"""2014-07-28T00:00:00.000Z""","BRA","8 km from Foz do Igua�u/Cataratas Airport, PR (IGU)","Embraer EMB-110P1 Bandeirante","PT-TAW","T�xi A�reo Ribeiro","","BRA","En route","Accident",0,true,true,false,"","E110",false,true,2,"Turboprop","","[]","TURB",2014
"""2014-07-29T00:00:00.000Z""","GBR","London Stansted","BOEING 737 800","EI-EFB","Ireland Ryanair","IRL","IRL","Landing","Accident","",true,true,true,"Unknown","B37M",false,true,2,"Jet","","[""ARC""]","RS",2014
"""2014-07-29T00:00:00.000Z""","USA"," San Diego International Airport, CA (SAN)","Boeing 757-222","N553UA","United Airlines","USA","USA","Landing","Accident","",true,true,true,"","ST75",false,true,1,"Piston","","[]","RS",2014
"""2014-07-30T00:00:00.000Z""","","enroute","A320","N314US","Delta",,"USA","","Accident","",true,true,"","","A320",false,true,2,"Jet","","[]","",2014
"""2014-07-31T00:00:00.000Z""","GBR","Culdrose","HAWKER","G-RNHF","United Kingdom ",,"GBR","Unknown","Accident",0,true,true,"","None","SHAW",false,true,1,"Jet","","[""SCF-PP"",""SCF-NP""]","SCF",2014
"""2014-08-03T00:00:00.000Z""","GRC","Paros Island","EUROCOPTER EC130 B4","SX-HVJ"," ","","GRC","Standing","Accident",0,true,false,"","None","EC30",true,false,1,"Turboprop","","[""GCOL""]","RS",2014
"""2014-08-05T00:00:00.000Z""","NZL","South Island","PIPER PA32S 300","ZK-DOJ","Australia ","","NZL","Unknown","Accident",1,false,false,false,"Fatal","PA47",false,true,1,"Jet","","[""UNK""]","UNK",2014
"""2014-08-06T00:00:00.000Z""","RUS","2 km E of Prototskiye, Krasnoarmeysky district, Krasnodar Krai","Antonov An-2R","RA-17890","Yug Line","","RUS","Landing","Accident",0,true,false,false,"","AN70",false,true,4,"Turboprop","","[]","RS",2014
"""2014-08-06T00:00:00.000Z""","FRA","Saint-Jean-les-Deux-Jumeaux","SOCATA TBM700 B","N129AG","Belgium ",,"USA","En route","Accident",2,true,false,"","Fatal","TBM7",false,true,1,"Turboprop","","[""LOC-I""]","LOC-I",2014
"""2014-08-07T00:00:00.000Z""","COL","San Jose del Guaviare","ANTONOV AN26 B","HK-4730","Colombia ","","COL","Landing","Accident",0,true,true,"","Unknown","AN26",false,true,2,"Turboprop","","[""SCF-NP""]","SCF",2014
"""2014-08-08T00:00:00.000Z""","","Dallas","A343","D-AIGM","Lufthansa",,"DEU","","Accident","",true,true,"","","A343",false,true,4,"Jet","","[]","",2014
"""2014-08-09T00:00:00.000Z""","","San Juan","A321","N903JB","Jetblue",,"USA","","Accident","",true,true,"","","A321",false,true,2,"Jet","","[]","",2014
"""2014-08-09T00:00:00.000Z""","USA"," San Antonio International Airport, TX (SAT)","Canadair CL-600-2D24 Regional Jet CRJ-900ER","N943LR","US Airways, opf. Mesa Airlines","USA","USA","","Accident",0,true,true,true,"","CRJ2",false,true,2,"Jet","","[]","",2014
"""2014-08-10T00:00:00.000Z""","IRN","Tehran","ANTONOV AN140 100","EP-GPA","Iran, Islamic Republic Of ","IRN","IRN","Take-off","Accident",38,true,true,true,"Fatal","A140",false,true,2,"Turboprop","","[""F-POST"",""SCF-PP""]","SCF",2014
